Review_Text,Word_Tokens,Updated_Aspect_Terms,BIO_Tags
"ആ തുടക്കത്തിൽ, എന്തിരടെ, മിണ്ടാതിരിയെടെ!!😎😂.Bro, പുലിയാണ് കേട്ടാ!!😍","['ആ', 'തുടക്കത്തിൽ', 'എന്തിരടെ', 'മിണ്ടാതിരിയെടെbro', 'പുലിയാണ്', 'കേട്ടാ']",{},"[('ആ', 'O'), ('തുടക്കത്തിൽ', 'O'), ('എന്തിരടെ', 'O'), ('മിണ്ടാതിരിയെടെbro', 'O'), ('പുലിയാണ്', 'O'), ('കേട്ടാ', 'O')]"
Flag ship ഫോണിൽ ഇത്ര ഒമ്പിയ disply ഇടാൻ Apple ന് മാത്രമേ പറ്റു. Very much disappointed.. samsung 10 or s10 plus എടുത്താൽ മതി എന്ന് പിനീട് തോന്നി..,"['flag', 'ship', 'ഫോണിൽ', 'ഇത്ര', 'ഒമ്പിയ', 'disply', 'ഇടാൻ', 'apple', 'ന്', 'മാത്രമേ', 'പറ്റു', 'very', 'much', 'disappointed', 'samsung', '10', 'or', 's10', 'plus', 'എടുത്താൽ', 'മതി', 'എന്ന്', 'പിനീട്', 'തോന്നി']","{'phone': ['apple', 'samsung']}","[('flag', 'O'), ('ship', 'O'), ('ഫോണിൽ', 'O'), ('ഇത്ര', 'O'), ('ഒമ്പിയ', 'O'), ('disply', 'O'), ('ഇടാൻ', 'O'), ('apple', 'B-phone'), ('ന്', 'O'), ('മാത്രമേ', 'O'), ('പറ്റു', 'O'), ('very', 'O'), ('much', 'O'), ('disappointed', 'O'), ('samsung', 'B-phone'), ('10', 'O'), ('or', 'O'), ('s10', 'O'), ('plus', 'O'), ('എടുത്താൽ', 'O'), ('മതി', 'O'), ('എന്ന്', 'O'), ('പിനീട്', 'O'), ('തോന്നി', 'O')]"
Sd card സപ്പോർട്ട് ഇല്ലേ എങ്കി ഫോൺ ഉംമ്പി 😂😂😂,"['sd', 'card', 'സപ്പോർട്ട്', 'ഇല്ലേ', 'എങ്കി', 'ഫോൺ', 'ഉംമ്പി']",{},"[('sd', 'O'), ('card', 'O'), ('സപ്പോർട്ട്', 'O'), ('ഇല്ലേ', 'O'), ('എങ്കി', 'O'), ('ഫോൺ', 'O'), ('ഉംമ്പി', 'O')]"
Night photography best ആണ്...,"['night', 'photography', 'best', 'ആണ്']",{},"[('night', 'O'), ('photography', 'O'), ('best', 'O'), ('ആണ്', 'O')]"
Samsung S10 5G യില്‍ നിന്ന് S22 ULTRA review കാണുന്നു 😇😍,"['samsung', 's10', '5g', 'യില്', 'നിന്ന്', 's22', 'ultra', 'review', 'കാണുന്നു']","{'camera': ['ultrawide'], 'phone': ['Samsung S10'], 'network': ['5g']}","[('samsung', 'B-phone'), ('s10', 'I-phone'), ('5g', 'B-network'), ('യില്', 'O'), ('നിന്ന്', 'O'), ('s22', 'O'), ('ultra', 'O'), ('review', 'O'), ('കാണുന്നു', 'O')]"
സാംസങ് 2ഉം കല്പിച്ചു iragayaal 🥰🥰.. മോനെ തീർന്നു... പക്ഷെ വില ആണ് പ്രശ്നം...,"['സാംസങ്', '2ഉം', 'കല്പിച്ചു', 'iragayaal', 'മോനെ', 'തീർന്നു', 'പക്ഷെ', 'വില', 'ആണ്', 'പ്രശ്നം']",{'price': ['വില']},"[('സാംസങ്', 'O'), ('2ഉം', 'O'), ('കല്പിച്ചു', 'O'), ('iragayaal', 'O'), ('മോനെ', 'O'), ('തീർന്നു', 'O'), ('പക്ഷെ', 'O'), ('വില', 'B-price'), ('ആണ്', 'O'), ('പ്രശ്നം', 'O')]"
One plus⚡️⚡️⚡️    അത് ഒരു ജിന്നാണ് ❤️❤️❤️,"['one', 'plus', 'അത്', 'ഒരു', 'ജിന്നാണ്']",{},"[('one', 'O'), ('plus', 'O'), ('അത്', 'O'), ('ഒരു', 'O'), ('ജിന്നാണ്', 'O')]"
"Moto വളരെ മോശമായ ഫോൺ ആണ്,. SERVICES വളരെ മോശമാണ്,..ആരും എടുക്കരുത്","['moto', 'വളരെ', 'മോശമായ', 'ഫോൺ', 'ആണ്', 'services', 'വളരെ', 'മോശമാണ്ആരും', 'എടുക്കരുത്']",{'phone': ['ഐഫോൺ']},"[('moto', 'O'), ('വളരെ', 'O'), ('മോശമായ', 'O'), ('ഫോൺ', 'O'), ('ആണ്', 'O'), ('services', 'O'), ('വളരെ', 'O'), ('മോശമാണ്ആരും', 'O'), ('എടുക്കരുത്', 'O')]"
Ir blaster കൂടെ വേണമായിരുന്നു,"['ir', 'blaster', 'കൂടെ', 'വേണമായിരുന്നു']",{},"[('ir', 'O'), ('blaster', 'O'), ('കൂടെ', 'O'), ('വേണമായിരുന്നു', 'O')]"
1st review oru 7 to 10 minute ആക്കാമായിരുന്നു,"['1st', 'review', 'oru', '7', 'to', '10', 'minute', 'ആക്കാമായിരുന്നു']",{'phone': ['mi']},"[('1st', 'O'), ('review', 'O'), ('oru', 'O'), ('7', 'O'), ('to', 'O'), ('10', 'O'), ('minute', 'O'), ('ആക്കാമായിരുന്നു', 'O')]"
Enco buds 2 വാങ്ങിയിട്ട് കുടുങ്ങിയ ഞാൻ😢.Right work aavumbo left illa. Left work aavumbo right illa.,"['enco', 'buds', '2', 'വാങ്ങിയിട്ട്', 'കുടുങ്ങിയ', 'ഞാൻright', 'work', 'aavumbo', 'left', 'illa', 'left', 'work', 'aavumbo', 'right', 'illa']","{'phone': ['23ultra'], 'price': ['budget']}","[('enco', 'O'), ('buds', 'O'), ('2', 'O'), ('വാങ്ങിയിട്ട്', 'O'), ('കുടുങ്ങിയ', 'O'), ('ഞാൻright', 'O'), ('work', 'O'), ('aavumbo', 'O'), ('left', 'O'), ('illa', 'O'), ('left', 'O'), ('work', 'O'), ('aavumbo', 'O'), ('right', 'O'), ('illa', 'O')]"
Punch hole കൂടി ഉണ്ടെങ്കിൽ വേറെ ലെവൽ ആയേനെ😁,"['punch', 'hole', 'കൂടി', 'ഉണ്ടെങ്കിൽ', 'വേറെ', 'ലെവൽ', 'ആയേനെ']",{},"[('punch', 'O'), ('hole', 'O'), ('കൂടി', 'O'), ('ഉണ്ടെങ്കിൽ', 'O'), ('വേറെ', 'O'), ('ലെവൽ', 'O'), ('ആയേനെ', 'O')]"
നല്ല ഫോൺ ആണ് ഞാൻ s22 ultra എടുത്തു.,"['നല്ല', 'ഫോൺ', 'ആണ്', 'ഞാൻ', 's22', 'ultra', 'എടുത്തു']","{'camera': ['ultrawide'], 'phone': ['ഐഫോൺ']}","[('നല്ല', 'O'), ('ഫോൺ', 'O'), ('ആണ്', 'O'), ('ഞാൻ', 'O'), ('s22', 'O'), ('ultra', 'O'), ('എടുത്തു', 'O')]"
